n,depth,Time (s),TPU,TPL,Normalized Depth,Normalized TPU,Normalized TPL,Union-Find Class,Path Compression
751,2,0.009167909622192383,449,1199,0.002663115845539281,0.5978695073235686,1.596537949400799,UnionWeight,PS
761,1,0.009094953536987305,469,1229,0.001314060446780552,0.6162943495400789,1.6149802890932983,UnionWeight,PS
771,2,0.009262800216674805,501,1271,0.0025940337224383916,0.6498054474708171,1.6485084306095978,UnionWeight,PS
781,1,0.009305953979492188,473,1253,0.0012804097311139564,0.6056338028169014,1.6043533930857874,UnionWeight,PS
791,2,0.009473085403442383,480,1270,0.0025284450063211127,0.606826801517067,1.6055625790139065,UnionWeight,PS
801,1,0.009723901748657227,520,1320,0.0012484394506866417,0.6491885143570537,1.647940074906367,UnionWeight,PS
811,2,0.009617805480957031,519,1329,0.002466091245376079,0.6399506781750924,1.6387176325524044,UnionWeight,PS
821,2,0.010030746459960938,531,1351,0.00243605359317905,0.6467722289890377,1.6455542021924483,UnionWeight,PS
831,1,0.009751081466674805,506,1336,0.0012033694344163659,0.6089049338146811,1.6077015643802648,UnionWeight,PS
841,2,0.010198116302490234,533,1373,0.0023781212841854932,0.633769322235434,1.6325802615933414,UnionWeight,PS
851,1,0.010265827178955078,545,1395,0.0011750881316098707,0.6404230317273796,1.6392479435957696,UnionWeight,PS
861,2,0.010209798812866211,537,1397,0.0023228803716608595,0.6236933797909407,1.6225319396051103,UnionWeight,PS
871,1,0.010387897491455078,528,1398,0.001148105625717566,0.6061997703788748,1.6050516647531572,UnionWeight,PS
881,2,0.010539054870605469,522,1402,0.0022701475595913734,0.5925085130533485,1.5913734392735528,UnionWeight,PS
891,2,0.010542154312133789,588,1478,0.002244668911335578,0.6599326599326599,1.6588103254769921,UnionWeight,PS
901,1,0.010754108428955078,561,1461,0.0011098779134295228,0.6226415094339622,1.6215316315205328,UnionWeight,PS
911,2,0.010864019393920898,577,1487,0.0021953896816684962,0.6333699231613611,1.6322722283205269,UnionWeight,PS
921,1,0.010734081268310547,564,1484,0.0010857763300760044,0.6123778501628665,1.6112920738327905,UnionWeight,PS
931,2,0.010928153991699219,562,1492,0.0021482277121374865,0.6036519871106337,1.602577873254565,UnionWeight,PS
941,1,0.011044025421142578,600,1540,0.0010626992561105207,0.6376195536663124,1.6365568544102018,UnionWeight,PS
951,1,0.010985136032104492,574,1524,0.0010515247108307045,0.6035751840168244,1.6025236593059937,UnionWeight,PS
961,2,0.011188983917236328,562,1522,0.002081165452653486,0.5848074921956296,1.5837669094693028,UnionWeight,PS
971,1,0.011294364929199219,612,1582,0.0010298661174047373,0.6302780638516993,1.6292481977342945,UnionWeight,PS
981,1,0.01146697998046875,612,1592,0.0010193679918450561,0.6238532110091743,1.6228338430173292,UnionWeight,PS
991,1,0.011445999145507812,666,1656,0.0010090817356205853,0.6720484359233098,1.6710393541876891,UnionWeight,PS
1000,2,0.011599063873291016,656,1655,0.002,0.656,1.655,UnionWeight,PS
1010,2,0.011709928512573242,596,1605,0.0019801980198019802,0.5900990099009901,1.5891089108910892,UnionWeight,PS
1020,2,0.01198720932006836,670,1689,0.00196078431372549,0.6568627450980392,1.6558823529411764,UnionWeight,PS
1030,2,0.012524843215942383,606,1635,0.001941747572815534,0.5883495145631068,1.587378640776699,UnionWeight,PS
1040,1,0.012836217880249023,648,1687,0.0009615384615384616,0.6230769230769231,1.6221153846153846,UnionWeight,PS
1050,2,0.013144969940185547,660,1709,0.0019047619047619048,0.6285714285714286,1.6276190476190475,UnionWeight,PS
1060,1,0.013184070587158203,641,1700,0.0009433962264150943,0.6047169811320755,1.6037735849056605,UnionWeight,PS
1070,1,0.01314687728881836,651,1720,0.0009345794392523365,0.608411214953271,1.6074766355140186,UnionWeight,PS
1080,1,0.013222694396972656,693,1772,0.000925925925925926,0.6416666666666667,1.6407407407407408,UnionWeight,PS
1090,2,0.01343989372253418,731,1820,0.001834862385321101,0.6706422018348623,1.6697247706422018,UnionWeight,PS
1100,1,0.013684988021850586,644,1743,0.0009090909090909091,0.5854545454545454,1.5845454545454545,UnionWeight,PS
1110,2,0.01355290412902832,650,1759,0.0018018018018018018,0.5855855855855856,1.5846846846846847,UnionWeight,PS
1120,2,0.013828039169311523,734,1853,0.0017857142857142857,0.6553571428571429,1.6544642857142857,UnionWeight,PS
1130,2,0.013940811157226562,732,1861,0.0017699115044247787,0.647787610619469,1.6469026548672567,UnionWeight,PS
1140,2,0.013875007629394531,709,1848,0.0017543859649122807,0.6219298245614036,1.6210526315789473,UnionWeight,PS
1150,2,0.014390230178833008,741,1890,0.0017391304347826088,0.6443478260869565,1.6434782608695653,UnionWeight,PS
1160,2,0.028255939483642578,743,1902,0.0017241379310344827,0.6405172413793103,1.639655172413793,UnionWeight,PS
1170,1,0.019524812698364258,723,1892,0.0008547008547008547,0.617948717948718,1.6170940170940171,UnionWeight,PS
1180,2,0.014451980590820312,778,1957,0.001694915254237288,0.6593220338983051,1.6584745762711866,UnionWeight,PS
1190,2,0.01428985595703125,719,1908,0.0016806722689075631,0.6042016806722689,1.6033613445378152,UnionWeight,PS
1200,1,0.014321088790893555,750,1949,0.0008333333333333334,0.625,1.6241666666666668,UnionWeight,PS
1210,2,0.014668941497802734,775,1984,0.001652892561983471,0.640495867768595,1.6396694214876033,UnionWeight,PS
1220,2,0.014877080917358398,729,1948,0.001639344262295082,0.5975409836065574,1.5967213114754097,UnionWeight,PS
1230,1,0.014894723892211914,751,1980,0.0008130081300813008,0.6105691056910569,1.6097560975609757,UnionWeight,PS
1240,2,0.015154123306274414,783,2022,0.0016129032258064516,0.6314516129032258,1.6306451612903226,UnionWeight,PS
1250,1,0.015124082565307617,802,2051,0.0008,0.6416,1.6408,UnionWeight,PS
1260,2,0.015409231185913086,805,2064,0.0015873015873015873,0.6388888888888888,1.638095238095238,UnionWeight,PS
1270,1,0.01517796516418457,788,2057,0.0007874015748031496,0.6204724409448819,1.6196850393700788,UnionWeight,PS
1280,2,0.015758752822875977,816,2095,0.0015625,0.6375,1.63671875,UnionWeight,PS
1290,2,0.015664100646972656,839,2128,0.0015503875968992248,0.6503875968992248,1.6496124031007753,UnionWeight,PS
1300,2,0.015501976013183594,790,2089,0.0015384615384615385,0.6076923076923076,1.606923076923077,UnionWeight,PS
1310,2,0.015747785568237305,819,2128,0.0015267175572519084,0.6251908396946565,1.6244274809160306,UnionWeight,PS
1320,1,0.015830039978027344,835,2154,0.0007575757575757576,0.6325757575757576,1.6318181818181818,UnionWeight,PS
1330,2,0.016110897064208984,833,2162,0.0015037593984962407,0.6263157894736842,1.625563909774436,UnionWeight,PS
1340,2,0.015980958938598633,853,2192,0.0014925373134328358,0.6365671641791045,1.635820895522388,UnionWeight,PS
1350,2,0.01641082763671875,870,2219,0.0014814814814814814,0.6444444444444445,1.6437037037037037,UnionWeight,PS
1360,2,0.016647815704345703,860,2219,0.0014705882352941176,0.6323529411764706,1.6316176470588235,UnionWeight,PS
1370,2,0.017180204391479492,898,2267,0.00145985401459854,0.6554744525547446,1.6547445255474453,UnionWeight,PS
1380,2,0.016874074935913086,828,2207,0.0014492753623188406,0.6,1.5992753623188405,UnionWeight,PS
1390,2,0.016981124877929688,874,2263,0.0014388489208633094,0.6287769784172662,1.6280575539568345,UnionWeight,PS
1400,2,0.016659021377563477,908,2307,0.0014285714285714286,0.6485714285714286,1.647857142857143,UnionWeight,PS
1410,2,0.01674199104309082,926,2335,0.0014184397163120568,0.6567375886524822,1.6560283687943262,UnionWeight,PS
1420,2,0.016762971878051758,874,2293,0.0014084507042253522,0.6154929577464788,1.6147887323943662,UnionWeight,PS
1430,2,0.0172727108001709,910,2339,0.0013986013986013986,0.6363636363636364,1.6356643356643357,UnionWeight,PS
1440,2,0.01741790771484375,903,2342,0.001388888888888889,0.6270833333333333,1.6263888888888889,UnionWeight,PS
1450,2,0.017151832580566406,921,2370,0.001379310344827586,0.6351724137931034,1.6344827586206896,UnionWeight,PS
1460,2,0.017647981643676758,922,2381,0.0013698630136986301,0.6315068493150685,1.6308219178082193,UnionWeight,PS
1470,2,0.01758122444152832,857,2326,0.0013605442176870747,0.5829931972789115,1.582312925170068,UnionWeight,PS
1480,2,0.017522096633911133,945,2424,0.0013513513513513514,0.6385135135135135,1.6378378378378378,UnionWeight,PS
1490,1,0.017589092254638672,954,2443,0.0006711409395973154,0.640268456375839,1.6395973154362415,UnionWeight,PS
1500,2,0.017686843872070312,965,2464,0.0013333333333333333,0.6433333333333333,1.6426666666666667,UnionWeight,PS
1510,2,0.0179440975189209,917,2426,0.0013245033112582781,0.6072847682119206,1.6066225165562913,UnionWeight,PS
1520,1,0.01792311668395996,961,2480,0.0006578947368421052,0.6322368421052632,1.631578947368421,UnionWeight,PS
1530,2,0.017928123474121094,978,2507,0.00130718954248366,0.6392156862745098,1.638562091503268,UnionWeight,PS
1540,2,0.01812887191772461,941,2480,0.0012987012987012987,0.611038961038961,1.6103896103896105,UnionWeight,PS
1550,2,0.018175125122070312,960,2509,0.0012903225806451613,0.6193548387096774,1.6187096774193548,UnionWeight,PS
1560,2,0.01823902130126953,1023,2582,0.001282051282051282,0.6557692307692308,1.655128205128205,UnionWeight,PS
1570,2,0.018187999725341797,966,2535,0.0012738853503184713,0.6152866242038216,1.6146496815286624,UnionWeight,PS
1580,2,0.018606901168823242,969,2548,0.0012658227848101266,0.6132911392405064,1.6126582278481012,UnionWeight,PS
1590,2,0.01861405372619629,1031,2620,0.0012578616352201257,0.6484276729559748,1.6477987421383649,UnionWeight,PS
1600,2,0.018616914749145508,1002,2601,0.00125,0.62625,1.625625,UnionWeight,PS
1610,2,0.01893782615661621,1037,2646,0.0012422360248447205,0.6440993788819875,1.6434782608695653,UnionWeight,PS
1620,2,0.019093990325927734,1001,2620,0.0012345679012345679,0.6179012345679012,1.617283950617284,UnionWeight,PS
1630,1,0.019176959991455078,1059,2688,0.0006134969325153375,0.6496932515337424,1.649079754601227,UnionWeight,PS
1640,1,0.01976490020751953,1049,2688,0.0006097560975609756,0.6396341463414634,1.6390243902439023,UnionWeight,PS
1650,2,0.01955103874206543,1060,2709,0.0012121212121212121,0.6424242424242425,1.6418181818181818,UnionWeight,PS
1660,2,0.019360780715942383,1027,2686,0.0012048192771084338,0.6186746987951808,1.6180722891566266,UnionWeight,PS
1670,1,0.019210100173950195,996,2665,0.0005988023952095808,0.5964071856287425,1.595808383233533,UnionWeight,PS
1680,2,0.019604921340942383,1085,2764,0.0011904761904761906,0.6458333333333334,1.6452380952380952,UnionWeight,PS
1690,2,0.01964426040649414,1082,2771,0.001183431952662722,0.6402366863905326,1.639644970414201,UnionWeight,PS
1700,1,0.01983475685119629,1075,2774,0.000588235294117647,0.6323529411764706,1.631764705882353,UnionWeight,PS
1710,1,0.019658327102661133,1052,2761,0.0005847953216374269,0.6152046783625731,1.6146198830409357,UnionWeight,PS
1720,1,0.019896268844604492,1072,2791,0.0005813953488372093,0.6232558139534884,1.6226744186046511,UnionWeight,PS
1730,1,0.020107030868530273,1122,2851,0.0005780346820809249,0.6485549132947976,1.6479768786127167,UnionWeight,PS
1740,2,0.020500898361206055,1103,2842,0.0011494252873563218,0.6339080459770114,1.6333333333333333,UnionWeight,PS
1750,2,0.02032780647277832,1059,2808,0.001142857142857143,0.6051428571428571,1.6045714285714285,UnionWeight,PS
1760,2,0.020268678665161133,1134,2893,0.0011363636363636363,0.6443181818181818,1.64375,UnionWeight,PS
1770,1,0.020497798919677734,1119,2888,0.0005649717514124294,0.6322033898305085,1.6316384180790962,UnionWeight,PS
1780,2,0.020475149154663086,1111,2890,0.0011235955056179776,0.6241573033707866,1.6235955056179776,UnionWeight,PS
1790,2,0.020568132400512695,1140,2929,0.0011173184357541898,0.6368715083798883,1.6363128491620111,UnionWeight,PS
1800,1,0.020734071731567383,1128,2927,0.0005555555555555556,0.6266666666666667,1.626111111111111,UnionWeight,PS
1810,2,0.02081012725830078,1167,2976,0.0011049723756906078,0.6447513812154696,1.6441988950276243,UnionWeight,PS
1820,1,0.021086931228637695,1150,2969,0.0005494505494505495,0.6318681318681318,1.6313186813186813,UnionWeight,PS
1830,2,0.021020174026489258,1157,2986,0.001092896174863388,0.6322404371584699,1.6316939890710382,UnionWeight,PS
1840,1,0.021251916885375977,1162,3001,0.0005434782608695652,0.6315217391304347,1.6309782608695653,UnionWeight,PS
1850,2,0.021400928497314453,1199,3048,0.001081081081081081,0.6481081081081081,1.6475675675675676,UnionWeight,PS
1860,2,0.021362781524658203,1157,3016,0.001075268817204301,0.6220430107526882,1.621505376344086,UnionWeight,PS
1870,2,0.021453857421875,1203,3072,0.0010695187165775401,0.6433155080213904,1.6427807486631016,UnionWeight,PS
1880,1,0.021586179733276367,1166,3045,0.0005319148936170213,0.6202127659574468,1.6196808510638299,UnionWeight,PS
1890,2,0.021746158599853516,1245,3134,0.0010582010582010583,0.6587301587301587,1.6582010582010582,UnionWeight,PS
1900,2,0.022097349166870117,1223,3122,0.0010526315789473684,0.6436842105263157,1.6431578947368422,UnionWeight,PS
1910,2,0.021799802780151367,1203,3112,0.0010471204188481676,0.6298429319371728,1.6293193717277488,UnionWeight,PS
1920,1,0.021870136260986328,1177,3096,0.0005208333333333333,0.6130208333333333,1.6125,UnionWeight,PS
1930,2,0.0221402645111084,1229,3158,0.0010362694300518134,0.6367875647668394,1.6362694300518135,UnionWeight,PS
1940,1,0.022263050079345703,1224,3163,0.0005154639175257732,0.6309278350515464,1.6304123711340206,UnionWeight,PS
1950,2,0.022430896759033203,1250,3199,0.0010256410256410256,0.6410256410256411,1.6405128205128205,UnionWeight,PS
1960,1,0.02235102653503418,1212,3171,0.0005102040816326531,0.6183673469387755,1.6178571428571429,UnionWeight,PS
1970,1,0.02248978614807129,1210,3179,0.0005076142131979696,0.6142131979695431,1.6137055837563452,UnionWeight,PS
1980,1,0.022550106048583984,1236,3215,0.000505050505050505,0.6242424242424243,1.6237373737373737,UnionWeight,PS
1990,2,0.022979736328125,1271,3260,0.0010050251256281408,0.6386934673366834,1.6381909547738693,UnionWeight,PS
1,0,1.5020370483398438e-05,0,0,0.0,0.0,0.0,UnionRank,PS
11,1,0.0001380443572998047,5,15,0.09090909090909091,0.45454545454545453,1.3636363636363635,UnionRank,PS
21,1,0.0002491474151611328,12,32,0.047619047619047616,0.5714285714285714,1.5238095238095237,UnionRank,PS
31,1,0.00042891502380371094,16,46,0.03225806451612903,0.5161290322580645,1.4838709677419355,UnionRank,PS
